CROP TYPE,SOIL TYPE,REGION,WEATHER CONDITION,WATER REQUIREMENT,temperature_min,temperature_max
SOYABEAN,DRY,SEMI ARID,SUNNY,10.1,20,30
SOYABEAN,DRY,SEMI ARID,RAINY,0.6,20,30
SOYABEAN,DRY,SEMI ARID,NORMAL,9.8,30,40
SOYABEAN,DRY,SEMI ARID,SUNNY,11.3,30,40
SOYABEAN,DRY,SEMI ARID,RAINY,1.8,30,40
SOYABEAN,DRY,SEMI ARID,NORMAL,10.95,40,50
SOYABEAN,DRY,SEMI ARID,SUNNY,12.45,40,50
SOYABEAN,DRY,SEMI ARID,RAINY,2.8,40,50
SOYABEAN,DRY,SEMI HUMID,NORMAL,5.53,10,20
SOYABEAN,DRY,SEMI HUMID,SUNNY,7.03,10,20
SOYABEAN,DRY,SEMI HUMID,RAINY,0.1,10,20
SOYABEAN,DRY,SEMI HUMID,NORMAL,6.5,20,30
SOYABEAN,DRY,SEMI HUMID,SUNNY,8.0,20,30
SOYABEAN,DRY,SEMI HUMID,RAINY,0.5,20,30
SOYABEAN,DRY,SEMI HUMID,NORMAL,7.6,30,40
SOYABEAN,DRY,SEMI HUMID,SUNNY,9.0,30,40
SOYABEAN,DRY,SEMI HUMID,RAINY,0.8,30,40
SOYABEAN,DRY,SEMI HUMID,NORMAL,8.55,40,50
SOYABEAN,DRY,SEMI HUMID,SUNNY,10.05,40,50
SOYABEAN,DRY,SEMI HUMID,RAINY,0.55,40,50
SOYABEAN,DRY,HUMID,NORMAL,4.51,10,20
SOYABEAN,DRY,HUMID,SUNNY,6.01,10,20
SOYABEAN,DRY,HUMID,RAINY,0.1,10,20
SOYABEAN,DRY,HUMID,NORMAL,5.5,20,30
SOYABEAN,DRY,HUMID,SUNNY,7.0,20,30
SOYABEAN,DRY,HUMID,RAINY,0.2,20,30
SOYABEAN,DRY,HUMID,NORMAL,6.5,30,40
SOYABEAN,DRY,HUMID,SUNNY,8.0,30,40
SOYABEAN,DRY,HUMID,RAINY,0.2,30,40
SOYABEAN,DRY,HUMID,NORMAL,7.8,40,50
SOYABEAN,DRY,HUMID,SUNNY,9.3,40,50
SOYABEAN,DRY,HUMID,RAINY,0.8,40,50
SOYABEAN,HUMID,DESERT,NORMAL,5.33,10,20
SOYABEAN,HUMID,DESERT,SUNNY,6.83,10,20
SOYABEAN,HUMID,DESERT,RAINY,0.5,10,20
SOYABEAN,HUMID,DESERT,NORMAL,6.2,20,30
SOYABEAN,HUMID,DESERT,SUNNY,7.7,20,30
SOYABEAN,HUMID,DESERT,RAINY,0.8,20,30
SOYABEAN,HUMID,DESERT,NORMAL,7.4,30,40
SOYABEAN,HUMID,DESERT,SUNNY,8.9,30,40
SOYABEAN,HUMID,DESERT,RAINY,0.8,30,40
SOYABEAN,HUMID,DESERT,NORMAL,8.34,40,50
SOYABEAN,HUMID,DESERT,SUNNY,9.85,40,50
SOYABEAN,HUMID,DESERT,RAINY,0.34,40,50
SOYABEAN,HUMID,SEMI ARID,NORMAL,4.71,10,20
SOYABEAN,HUMID,SEMI ARID,SUNNY,6.21,10,20
SOYABEAN,HUMID,SEMI ARID,RAINY,0.1,10,20
SOYABEAN,HUMID,SEMI ARID,NORMAL,5.8,20,30
SOYABEAN,HUMID,SEMI ARID,SUNNY,7.3,20,30
SOYABEAN,HUMID,SEMI ARID,RAINY,0.2,20,30
SOYABEAN,HUMID,SEMI ARID,NORMAL,6.6,30,40
SOYABEAN,HUMID,SEMI ARID,SUNNY,8.1,30,40
SOYABEAN,HUMID,SEMI ARID,RAINY,0.5,30,40
SOYABEAN,HUMID,SEMI ARID,NORMAL,7.9,40,50
SOYABEAN,HUMID,SEMI ARID,SUNNY,9.4,40,50
SOYABEAN,HUMID,SEMI ARID,RAINY,0.6,40,50
SOYABEAN,HUMID,SEMI HUMID,NORMAL,3.9,10,20
SOYABEAN,HUMID,SEMI HUMID,SUNNY,5.4,10,20
SOYABEAN,HUMID,SEMI HUMID,RAINY,0.1,10,20
SOYABEAN,HUMID,SEMI HUMID,NORMAL,4.9,20,30
SOYABEAN,HUMID,SEMI HUMID,SUNNY,6.4,20,30
SOYABEAN,HUMID,SEMI HUMID,RAINY,0.1,20,30
SOYABEAN,HUMID,SEMI HUMID,NORMAL,5.8,30,40
SOYABEAN,HUMID,SEMI HUMID,SUNNY,7.3,30,40
SOYABEAN,HUMID,SEMI HUMID,RAINY,0.3,30,40
SOYABEAN,HUMID,SEMI HUMID,NORMAL,6.7,40,50
SOYABEAN,HUMID,SEMI HUMID,SUNNY,8.2,40,50
SOYABEAN,HUMID,SEMI HUMID,RAINY,0.4,40,50
SOYABEAN,HUMID,HUMID,NORMAL,2.8,10,20
SOYABEAN,HUMID,HUMID,SUNNY,4.3,10,20
SOYABEAN,HUMID,HUMID,RAINY,0.1,10,20
SOYABEAN,HUMID,HUMID,NORMAL,3.7,20,30
SOYABEAN,HUMID,HUMID,SUNNY,5.2,20,30
SOYABEAN,HUMID,HUMID,RAINY,0.1,20,30
SOYABEAN,HUMID,HUMID,NORMAL,4.9,30,40
SOYABEAN,HUMID,HUMID,SUNNY,6.4,30,40
SOYABEAN,HUMID,HUMID,RAINY,0.5,30,40
SOYABEAN,HUMID,HUMID,NORMAL,5.8,40,50
SOYABEAN,HUMID,HUMID,SUNNY,7.3,40,50
SOYABEAN,HUMID,HUMID,RAINY,0.3,40,50
SOYABEAN,WET,DESERT,NORMAL,4.1,10,20
SOYABEAN,WET,DESERT,SUNNY,5.6,10,20
SOYABEAN,WET,DESERT,RAINY,0.1,10,20
SOYABEAN,WET,DESERT,NORMAL,5.1,20,30
SOYABEAN,WET,DESERT,SUNNY,6.6,20,30
SOYABEAN,WET,DESERT,RAINY,0.4,20,30
SOYABEAN,WET,DESERT,NORMAL,6.2,30,40
SOYABEAN,WET,DESERT,SUNNY,7.7,30,40
SOYABEAN,WET,DESERT,RAINY,0.5,30,40
SOYABEAN,WET,DESERT,NORMAL,7.3,40,50
SOYABEAN,WET,DESERT,SUNNY,8.8,40,50
SOYABEAN,WET,DESERT,RAINY,0.8,40,50
SOYABEAN,WET,SEMI ARID,NORMAL,3.5,10,20
SOYABEAN,WET,SEMI ARID,SUNNY,5.0,10,20
SOYABEAN,WET,SEMI ARID,RAINY,0.1,10,20
SOYABEAN,WET,SEMI ARID,NORMAL,4.6,20,30
SOYABEAN,WET,SEMI ARID,SUNNY,6.1,20,30
SOYABEAN,WET,SEMI ARID,RAINY,0.2,20,30
SOYABEAN,WET,SEMI ARID,NORMAL,5.7,30,40
SOYABEAN,WET,SEMI ARID,SUNNY,7.2,30,40
SOYABEAN,WET,SEMI ARID,RAINY,0.3,30,40
SOYABEAN,WET,SEMI ARID,NORMAL,6.6,40,50
SOYABEAN,WET,SEMI ARID,SUNNY,8.1,40,50
SOYABEAN,WET,SEMI ARID,RAINY,0.5,40,50
SOYABEAN,WET,SEMI HUMID,NORMAL,2.6,10,20
SOYABEAN,WET,SEMI HUMID,SUNNY,4.1,10,20
SOYABEAN,WET,SEMI HUMID,RAINY,0.1,10,20
SOYABEAN,WET,SEMI HUMID,NORMAL,3.6,20,30
SOYABEAN,WET,SEMI HUMID,SUNNY,5.1,20,30
SOYABEAN,WET,SEMI HUMID,RAINY,0.1,20,30
SOYABEAN,WET,SEMI HUMID,NORMAL,4.7,30,40
SOYABEAN,WET,SEMI HUMID,SUNNY,6.2,30,40
SOYABEAN,WET,SEMI HUMID,RAINY,0.1,30,40
SOYABEAN,WET,SEMI HUMID,NORMAL,5.6,40,50
SOYABEAN,WET,SEMI HUMID,SUNNY,7.1,40,50
SOYABEAN,WET,SEMI HUMID,RAINY,0.3,40,50
SOYABEAN,WET,HUMID,NORMAL,1.64,10,20
SOYABEAN,WET,HUMID,SUNNY,3.14,10,20
SOYABEAN,WET,HUMID,RAINY,0.1,10,20
SOYABEAN,WET,HUMID,NORMAL,2.6,20,30
SOYABEAN,WET,HUMID,SUNNY,4.1,20,30
SOYABEAN,WET,HUMID,RAINY,0.1,20,30
SOYABEAN,WET,HUMID,NORMAL,3.7,30,40
SOYABEAN,WET,HUMID,SUNNY,5.2,30,40
SOYABEAN,WET,HUMID,RAINY,0.1,30,40
SOYABEAN,WET,HUMID,NORMAL,4.6,40,50
SOYABEAN,WET,HUMID,SUNNY,6.1,40,50
SOYABEAN,WET,HUMID,RAINY,0.1,40,50
CABBAGE,DRY,DESERT,NORMAL,5.5,10,20
CABBAGE,DRY,DESERT,SUNNY,7.0,10,20
CABBAGE,DRY,DESERT,RAINY,0.2,10,20
CABBAGE,DRY,DESERT,NORMAL,6.5,20,30
CABBAGE,DRY,DESERT,SUNNY,8.0,20,30
CABBAGE,DRY,DESERT,RAINY,0.5,20,30
CABBAGE,DRY,DESERT,NORMAL,7.0,30,40
CABBAGE,DRY,DESERT,SUNNY,8.5,30,40
CABBAGE,DRY,DESERT,RAINY,0.8,30,40
CABBAGE,DRY,DESERT,NORMAL,8.6,40,50
CABBAGE,DRY,DESERT,SUNNY,10.1,40,50
CABBAGE,DRY,DESERT,RAINY,0.6,40,50
CABBAGE,DRY,SEMI ARID,NORMAL,5.05,10,20
CABBAGE,DRY,SEMI ARID,SUNNY,6.55,10,20
CABBAGE,DRY,SEMI ARID,RAINY,0.5,10,20
CABBAGE,DRY,SEMI ARID,NORMAL,6.0,20,30
CABBAGE,DRY,SEMI ARID,SUNNY,7.5,20,30
CABBAGE,DRY,SEMI ARID,RAINY,0.5,20,30
CABBAGE,DRY,SEMI ARID,NORMAL,7.1,30,40
CABBAGE,DRY,SEMI ARID,SUNNY,8.6,30,40
CABBAGE,DRY,SEMI ARID,RAINY,0.8,30,40
CABBAGE,DRY,SEMI ARID,NORMAL,8.0,40,50
CABBAGE,DRY,SEMI ARID,SUNNY,9.5,40,50
CABBAGE,DRY,SEMI ARID,RAINY,0.8,40,50
CABBAGE,DRY,SEMI HUMID,NORMAL,4.4,10,20
CABBAGE,DRY,SEMI HUMID,SUNNY,5.9,10,20
CABBAGE,DRY,SEMI HUMID,RAINY,0.2,10,20
CABBAGE,DRY,SEMI HUMID,NORMAL,5.3,20,30
CABBAGE,DRY,SEMI HUMID,SUNNY,6.8,20,30
CABBAGE,DRY,SEMI HUMID,RAINY,0.3,20,30
CABBAGE,DRY,SEMI HUMID,NORMAL,6.2,30,40
CABBAGE,DRY,SEMI HUMID,SUNNY,7.7,30,40
CABBAGE,DRY,SEMI HUMID,RAINY,0.5,30,40
CABBAGE,DRY,SEMI HUMID,NORMAL,7.5,40,50
CABBAGE,DRY,SEMI HUMID,SUNNY,9.0,40,50
CABBAGE,DRY,SEMI HUMID,RAINY,0.8,40,50
CABBAGE,DRY,HUMID,NORMAL,3.6,10,20
CABBAGE,DRY,HUMID,SUNNY,5.1,10,20
CABBAGE,DRY,HUMID,RAINY,0.1,10,20
CABBAGE,DRY,HUMID,NORMAL,4.5,20,30
CABBAGE,DRY,HUMID,SUNNY,6.0,20,30
CABBAGE,DRY,HUMID,RAINY,0.2,20,30
CABBAGE,DRY,HUMID,NORMAL,5.6,30,40
CABBAGE,DRY,HUMID,SUNNY,7.1,30,40
CABBAGE,DRY,HUMID,RAINY,0.2,30,40
CABBAGE,DRY,HUMID,NORMAL,6.6,40,50
CABBAGE,DRY,HUMID,SUNNY,8.1,40,50
CABBAGE,DRY,HUMID,RAINY,0.5,40,50
CABBAGE,HUMID,DESERT,NORMAL,4.2,10,20
CABBAGE,HUMID,DESERT,SUNNY,5.7,10,20
CABBAGE,HUMID,DESERT,RAINY,0.2,10,20
CABBAGE,HUMID,DESERT,NORMAL,5.3,20,30
CABBAGE,HUMID,DESERT,SUNNY,6.8,20,30
CABBAGE,HUMID,DESERT,RAINY,0.3,20,30
CABBAGE,HUMID,DESERT,NORMAL,6.2,30,40
CABBAGE,HUMID,DESERT,SUNNY,7.7,30,40
CABBAGE,HUMID,DESERT,RAINY,0.5,30,40
CABBAGE,HUMID,DESERT,NORMAL,7.4,40,50
CABBAGE,HUMID,DESERT,SUNNY,8.9,40,50
CABBAGE,HUMID,DESERT,RAINY,0.8,40,50
CABBAGE,HUMID,SEMI ARID,NORMAL,3.7,10,20
CABBAGE,HUMID,SEMI ARID,SUNNY,5.2,10,20
CABBAGE,HUMID,SEMI ARID,RAINY,0.1,10,20
CABBAGE,HUMID,SEMI ARID,NORMAL,4.6,20,30
CABBAGE,HUMID,SEMI ARID,SUNNY,6.1,20,30
CABBAGE,HUMID,SEMI ARID,RAINY,0.2,20,30
CABBAGE,HUMID,SEMI ARID,NORMAL,5.5,30,40
CABBAGE,HUMID,SEMI ARID,SUNNY,7.0,30,40
CABBAGE,HUMID,SEMI ARID,RAINY,0.3,30,40
CABBAGE,HUMID,SEMI ARID,NORMAL,6.6,40,50
CABBAGE,HUMID,SEMI ARID,SUNNY,8.1,40,50
CABBAGE,HUMID,SEMI ARID,RAINY,0.5,40,50
CABBAGE,HUMID,SEMI HUMID,NORMAL,3.1,10,20
CABBAGE,HUMID,SEMI HUMID,SUNNY,4.6,10,20
CABBAGE,HUMID,SEMI HUMID,RAINY,0.1,10,20
CABBAGE,HUMID,SEMI HUMID,NORMAL,4.2,20,30
CABBAGE,HUMID,SEMI HUMID,SUNNY,5.7,20,30
CABBAGE,HUMID,SEMI HUMID,RAINY,0.2,20,30
CABBAGE,HUMID,SEMI HUMID,NORMAL,5.1,30,40
CABBAGE,HUMID,SEMI HUMID,SUNNY,6.6,30,40
CABBAGE,HUMID,SEMI HUMID,RAINY,0.3,30,40
CABBAGE,HUMID,SEMI HUMID,NORMAL,6.0,40,50
CABBAGE,HUMID,SEMI HUMID,SUNNY,7.5,40,50
CABBAGE,HUMID,SEMI HUMID,RAINY,0.5,40,50
CABBAGE,HUMID,HUMID,NORMAL,2.3,10,20
CABBAGE,HUMID,HUMID,SUNNY,3.8,10,20
CABBAGE,HUMID,HUMID,RAINY,0.1,10,20
CABBAGE,HUMID,HUMID,NORMAL,3.33,20,30
CABBAGE,HUMID,HUMID,SUNNY,4.8,20,30
CABBAGE,HUMID,HUMID,RAINY,0.1,20,30
CABBAGE,HUMID,HUMID,NORMAL,4.33,30,40
CABBAGE,HUMID,HUMID,SUNNY,5.8,30,40
CABBAGE,HUMID,HUMID,RAINY,0.2,30,40
CABBAGE,HUMID,HUMID,NORMAL,5.33,40,50
CABBAGE,HUMID,HUMID,SUNNY,6.8,40,50
CABBAGE,HUMID,HUMID,RAINY,0.3,40,50
CABBAGE,WET,DESERT,NORMAL,3.33,10,20
CABBAGE,WET,DESERT,SUNNY,4.8,10,20
CABBAGE,WET,DESERT,RAINY,0.1,10,20
CABBAGE,WET,DESERT,NORMAL,4.33,20,30
CABBAGE,WET,DESERT,SUNNY,5.8,20,30
CABBAGE,WET,DESERT,RAINY,0.2,20,30
CABBAGE,WET,DESERT,NORMAL,5.33,30,40
CABBAGE,WET,DESERT,SUNNY,6.8,30,40
CABBAGE,WET,DESERT,RAINY,0.3,30,40
CABBAGE,WET,DESERT,NORMAL,6.33,40,50
CABBAGE,WET,DESERT,SUNNY,7.8,40,50
CABBAGE,WET,DESERT,RAINY,0.5,40,50
CABBAGE,WET,SEMI ARID,NORMAL,2.83,10,20
CABBAGE,WET,SEMI ARID,SUNNY,4.33,10,20
CABBAGE,WET,SEMI ARID,RAINY,0.1,10,20
CABBAGE,WET,SEMI ARID,NORMAL,3.83,20,30
CABBAGE,WET,SEMI ARID,SUNNY,5.33,20,30
CABBAGE,WET,SEMI ARID,RAINY,0.1,20,30
CABBAGE,WET,SEMI ARID,NORMAL,4.83,30,40
CABBAGE,WET,SEMI ARID,SUNNY,6.33,30,40
CABBAGE,WET,SEMI ARID,RAINY,0.2,30,40
CABBAGE,WET,SEMI ARID,NORMAL,5.83,40,50
CABBAGE,WET,SEMI ARID,SUNNY,7.33,40,50
CABBAGE,WET,SEMI ARID,RAINY,0.3,40,50
CABBAGE,WET,SEMI HUMID,NORMAL,2.16,10,20
CABBAGE,WET,SEMI HUMID,SUNNY,3.66,10,20
CABBAGE,WET,SEMI HUMID,RAINY,0.1,10,20
CABBAGE,WET,SEMI HUMID,NORMAL,3.16,20,30
CABBAGE,WET,SEMI HUMID,SUNNY,4.66,20,30
CABBAGE,WET,SEMI HUMID,RAINY,0.1,20,30
CABBAGE,WET,SEMI HUMID,NORMAL,4.16,30,40
CABBAGE,WET,SEMI HUMID,SUNNY,5.66,30,40
CABBAGE,WET,SEMI HUMID,RAINY,0.2,30,40
CABBAGE,WET,SEMI HUMID,NORMAL,5.16,40,50
CABBAGE,WET,SEMI HUMID,SUNNY,6.66,40,50
CABBAGE,WET,SEMI HUMID,RAINY,0.3,40,50
CABBAGE,WET,HUMID,NORMAL,1.33,10,20
CABBAGE,WET,HUMID,SUNNY,2.83,10,20
CABBAGE,WET,HUMID,RAINY,0.1,10,20
CABBAGE,WET,HUMID,NORMAL,2.33,20,30
CABBAGE,WET,HUMID,SUNNY,3.83,20,30
CABBAGE,WET,HUMID,RAINY,0.1,20,30
CABBAGE,WET,HUMID,NORMAL,3.33,30,40
CABBAGE,WET,HUMID,SUNNY,4.83,30,40
CABBAGE,WET,HUMID,RAINY,0.1,30,40
CABBAGE,WET,HUMID,NORMAL,4.33,40,50
CABBAGE,WET,HUMID,SUNNY,5.83,40,50
CABBAGE,WET,HUMID,RAINY,0.2,40,50
POTATO,DRY,DESERT,NORMAL,8.5,10,20
POTATO,DRY,DESERT,SUNNY,10.0,10,20
POTATO,DRY,DESERT,RAINY,0.5,10,20
POTATO,DRY,DESERT,NORMAL,9.5,20,30
POTATO,DRY,DESERT,SUNNY,11.0,20,30
POTATO,DRY,DESERT,RAINY,1.5,20,30
POTATO,DRY,DESERT,NORMAL,10.7,30,40
POTATO,DRY,DESERT,SUNNY,12.2,30,40
POTATO,DRY,DESERT,RAINY,2.7,30,40
POTATO,DRY,DESERT,NORMAL,11.6,40,50
POTATO,DRY,DESERT,SUNNY,13.1,40,50
POTATO,DRY,DESERT,RAINY,3.6,40,50
POTATO,DRY,SEMI ARID,NORMAL,7.8,10,20
POTATO,DRY,SEMI ARID,SUNNY,9.3,10,20
POTATO,DRY,SEMI ARID,RAINY,0.8,10,20
POTATO,DRY,SEMI ARID,NORMAL,8.8,20,30
